City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
211,Luganville,-15.5333,167.1667,83.62,79,99,4.65,overcast clouds,VU,2022-03-27 22:53:18
212,Oyama,36.3,139.8,56.59,71,96,4.03,overcast clouds,JP,2022-03-27 22:53:18
213,Souillac,-20.5167,57.5167,77.38,88,40,2.3,scattered clouds,MU,2022-03-27 22:53:19
214,Ozernovskiy,51.5,156.5167,33.26,87,84,21.85,broken clouds,RU,2022-03-27 22:53:19
215,Tura,25.5198,90.2201,68.94,59,1,4.07,clear sky,IN,2022-03-27 22:53:20
216,Comodoro Rivadavia,-45.8667,-67.5,67.86,26,40,23.02,dust,AR,2022-03-27 22:49:43
217,Teya,60.3778,92.6267,-8.09,100,99,3.71,overcast clouds,RU,2022-03-27 22:53:20
218,Qaanaaq,77.484,-69.3632,9.82,93,100,5.06,overcast clouds,GL,2022-03-27 22:53:21
219,Bend,44.0582,-121.3153,63.68,34,0,6.91,clear sky,US,2022-03-27 22:50:11
220,Mato Verde,-15.3972,-42.8664,79.34,42,92,5.53,overcast clouds,BR,2022-03-27 22:53:21
221,Chumikan,54.7183,135.315,9.5,90,59,9.44,broken clouds,RU,2022-03-27 22:53:22
222,Auki,-8.7676,160.7034,81.79,81,100,4.16,overcast clouds,SB,2022-03-27 22:53:22
223,Indiaroba,-11.5192,-37.5117,76.98,85,67,4.81,broken clouds,BR,2022-03-27 22:53:22
224,Mount Gambier,-37.8333,140.7667,62.51,88,37,6.91,scattered clouds,AU,2022-03-27 22:53:23
225,Marawi,7.9986,124.2928,70.3,89,40,0.98,scattered clouds,PH,2022-03-27 22:53:23
226,Guerrero Negro,27.9769,-114.0611,69.46,53,100,12.28,overcast clouds,MX,2022-03-27 22:53:23
227,Bongor,10.2806,15.3722,82.29,10,12,10.94,few clouds,TD,2022-03-27 22:53:24
228,Bloomingdale,27.8936,-82.2404,76.89,44,0,9.22,clear sky,US,2022-03-27 22:53:24
229,Chicama,-7.8447,-79.1469,66.74,64,91,6.71,overcast clouds,PE,2022-03-27 22:53:24
230,Hambantota,6.1241,81.1185,78.04,86,16,5.17,few clouds,LK,2022-03-27 22:53:25
231,Puerto Del Rosario,28.5004,-13.8627,65.95,72,0,8.05,clear sky,ES,2022-03-27 22:53:25
232,Padang,-0.9492,100.3543,66.25,62,47,4.03,scattered clouds,ID,2022-03-27 22:53:26
233,Skagen,57.7209,10.5839,44.6,82,85,27.78,overcast clouds,DK,2022-03-27 22:53:26
234,Anqing,30.5092,117.0506,51.33,86,56,3.71,broken clouds,CN,2022-03-27 22:53:27
235,Amot,59.5714,7.9877,26.91,92,100,5.39,overcast clouds,NO,2022-03-27 22:53:27
236,Onalaska,43.8844,-91.2351,32.7,30,15,8.01,few clouds,US,2022-03-27 22:53:18
237,Avera,33.194,-82.5271,67.51,39,5,13.22,clear sky,US,2022-03-27 22:53:28
238,Lebu,-37.6167,-73.65,55.74,80,0,10.74,clear sky,CL,2022-03-27 22:53:28
239,Gunnedah,-30.9833,150.25,69.1,74,100,6.15,overcast clouds,AU,2022-03-27 22:53:29
240,Glendive,47.1053,-104.7125,60.49,24,0,14.97,clear sky,US,2022-03-27 22:53:21
241,Helong,42.5397,128.9972,32.72,63,3,6.78,clear sky,CN,2022-03-27 22:53:29
242,Pizarro,4.9533,-77.366,77.9,85,100,3.04,overcast clouds,CO,2022-03-27 22:53:29
243,Ayan,56.45,138.1667,12.54,84,26,3.85,scattered clouds,RU,2022-03-27 22:52:09
244,Constitucion,-35.3333,-72.4167,57.58,78,84,13.71,broken clouds,CL,2022-03-27 22:53:30
245,Dutlwe,-23.9833,23.9,70.59,49,25,8.88,scattered clouds,BW,2022-03-27 22:53:30
246,Luocheng,29.3848,104.0286,51.94,87,2,2.08,clear sky,CN,2022-03-27 22:53:31
247,Faanui,-16.4833,-151.75,82.02,72,18,12.77,few clouds,PF,2022-03-27 22:53:31
248,Novoagansk,61.9449,76.6625,9.63,96,98,7.85,overcast clouds,RU,2022-03-27 22:53:32
249,Nova Aurora,-22.8667,-52.5667,71.42,69,6,3.69,clear sky,BR,2022-03-27 22:53:32
250,Sur,22.5667,59.5289,79.59,47,0,3.36,clear sky,OM,2022-03-27 22:49:38
251,Tasiilaq,65.6145,-37.6368,20.79,78,100,12.55,overcast clouds,GL,2022-03-27 22:50:31
252,Savinka,50.0785,47.0994,25.32,86,81,14.41,broken clouds,RU,2022-03-27 22:53:32
253,Igarka,67.4667,86.5833,-11.2,100,95,4.52,overcast clouds,RU,2022-03-27 22:53:33
254,Ziarat,30.3823,67.7282,53.01,21,0,4.16,clear sky,PK,2022-03-27 22:53:33
255,Lamu,-2.2717,40.902,82.62,86,36,8.72,scattered clouds,KE,2022-03-27 22:53:34
